SM_CODE_NEW,SUP,SALES_CODE,LINE_NEW,Year,Quarter,Month,Group_Sales,PRD Type,PRODUCT_NAME_NEW,item Code,item Name,Sales
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,METFOR,1-ME029,METFOR-850 1X10X10'S,971.96
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,MEXY SYRUP,2-ME004,MEXY SYRUP 1X60 ML (กล่องรูปเด็ก),"3,271.03"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,MILLIOPH,BFS-1-MI011,MILLIOPH EYEDROP 5 ml 1X5 ml,"1,121.50"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,MILLIOPH,BFS-1-MI012,MILLIOPH EYEDROP 10 ml 1X10 ml,"8,943.92"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,MILTEAR,BFS-1-MI005,MILTEAR 1X30X1 ML,"18,841.12"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,MILTEAR,BFS-1-MI015,MILTEAR MD 1X10 ML,"37,369.78"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,MINOZ,1-MI011,MINOZ 28 1X28'S,"11,607.48"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,MONKAST,1-MO006,MONKAST-5 1X2X14'S,"3,168.23"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Other Product,NEUMANTINE/MEMO,1-NE013,Neumantine  1x2x14's  (Box),785.05
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,AVAFAST,1-AV001,AVAFAST-180 1X10'S,"22,074.76"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"3,196.26"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"141,037.38"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,MCXY COLD,1-MC022,MCXY-COLD  1x12x10S,"18,370.10"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,NITE CAP,3-NI002,NITE CAP 1X10X10S (BOX),"17,267.29"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"83,439.25"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"32,274.15"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"25,443.93"
OTB,OB2,OB21,LINE2,2026,Q1,2,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,"4,142.07"
OTB,OB2,OB21,LINE2,2026,Q1,2,New Product,New Product,MONAS,1-MO007,MONAS 1x21S,"18,849.81"
OTB,OB2,OB21,LINE2,2026,Q1,2,New Product,New Product,Ophtocin eye drop,BFS-2-OP001,Ophtocin eye drop 5 ml 1x5 mL,"4,485.97"
OTB,OB2,OB21,LINE2,2026,Q1,2,New Product,New Product,T-OPH,BFS-2-TO001,T-OPH(SOC) 5 ML    1 x 5 ML,"2,224.30"
OTB,OB2,OB21,LINE2,2026,Q1,2,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"5,607.48"
OTB,OB2,OB21,LINE2,2026,Q1,3,Existing Products,Other Product,CAZOSIN,1-CA045,CAZOSIN 2 mg.(Blister) 1X10X10'S,"1,682.24"
OTB,OB2,OB21,LINE2,2026,Q1,3,Existing Products,Other Product,CAZOSIN,1-CA046,CAZOSIN 4MG.(Blister)  1X10X10'S,"1,121.50"
OTB,OB2,OB21,LINE2,2026,Q1,3,Existing Products,Other Product,CYSTALINE,1-CY001,CYSTALINE  1x10'S,"66,362.62"
OTB,OB2,OB21,LINE2,2026,Q1,3,Existing Products,Other Product,CYSTALINE,1-CY007,Cystaline Effervescent Tablet (Strip) 1x5x4's,"1,170.33"
OTB,OB2,OB21,LINE2,2026,Q1,3,Existing Products,Other Product,DENOX,9-DE001,DENOX 1X10 ML (0.05%),"2,177.57"
OTB,OB2,OB21,LINE2,2026,Q1,3,Existing Products,Other Product,DENOX,9-DE002,DENOX 1X10 ML (0.1%),"4,558.09"
