SM_CODE_NEW,SUP,SALES_CODE,LINE_NEW,Year,Quarter,Month,Group_Sales,PRD Type,PRODUCT_NAME_NEW,item Code,item Name,Sales
HOR,HU2,HC11,LINE 2,2026,Q2,4,Existing Products,Other Product,MONKAST,1-MO005,MONKAST-10 1X2X14'S,"7,009"
HOR,HU2,HC11,LINE 2,2026,Q2,4,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"14,845"
HOR,HU2,HC11,LINE 2,2026,Q2,4,Existing Products,Product Push,FINASCIA,1-FI002,FINASCIA   1X3X10S,"7,850"
HOR,HU2,HC11,LINE 2,2026,Q2,4,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"63,692"
HOR,HU2,HC11,LINE 2,2026,Q2,4,Existing Products,Product Push,NITE CAP,3-NI002,NITE CAP 1X10X10S (BOX),"15,791"
HOR,HU2,HC11,LINE 2,2026,Q2,4,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"87,252"
HOR,HU2,HC11,LINE 2,2026,Q2,4,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"7,290"
HOR,HU2,HC11,LINE 2,2026,Q2,4,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,"7,724"
HOR,HU2,HC11,LINE 2,2026,Q2,4,New Product,New Product,Ophtocin eye drop,BFS-2-OP001,Ophtocin eye drop 5 ml 1x5 mL,"8,224"
HOR,HU2,HC11,LINE 2,2026,Q2,4,New Product,New Product,T-OPH EYE DROPS,BFS-2-TO001,T-OPH(SOC) 5 ML    1 x 5 ML,636
HOR,HU2,HC11,LINE 2,2026,Q2,4,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"6,953"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,CAZOSIN,1-CA045,CAZOSIN 2 mg.(Blister) 1X10X10'S,598
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,CLEO,1-CL001,CLEO  1X50X28'S (BOX),"1,794"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,EZB-10,1-EZ001,EZB-10 1X3X10'S,"8,523"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,K-ZUVA,1-KZ001,K-ZUVA 20 1X3X10'S,"2,804"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,K-ZUVA,1-KZ002,K-ZUVA  10 1X3X10'S,"1,542"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,METFOR,1-ME002,METFOR-500 1X10X10'S,"3,271"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,METFOR,1-ME029,METFOR-850 1X10X10'S,224
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,MINOZ,1-MI011,MINOZ 28 1X28'S,"5,383"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,MONKAST,1-MO005,MONKAST-10 1X2X14'S,"2,336"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Other Product,NEUMANTINE/MEMO,1-NE013,Neumantine  1x2x14's  (Box),"37,383"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Product Push,AVAFAST,1-AV001,AVAFAST-180 1X10'S,"2,692"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"4,191"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Product Push,FINASCAR,1-FI001,FINASCAR 5 MG.(Blister Unit dose) 1X3X10S,"1,028"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"2,888"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"5,383"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"22,231"
HOR,HU2,HC12,LINE 2,2026,Q2,4,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,710
HOR,HU2,HC12,LINE 2,2026,Q2,4,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"4,486"
HOR,HU2,HE11,LINE 2,2026,Q2,4,Existing Products,Other Product,CAZOSIN,1-CA046,CAZOSIN 4MG.(Blister)  1X10X10'S,"5,234"
HOR,HU2,HE11,LINE 2,2026,Q2,4,Existing Products,Other Product,EZB-10,1-EZ001,EZB-10 1X3X10'S,"8,523"
HOR,HU2,HE11,LINE 2,2026,Q2,4,Existing Products,Other Product,K-ZUVA,1-KZ001,K-ZUVA 20 1X3X10'S,"6,729"
